x(m),y(m),z(m),InvalidFlags,RangeRate(m/S),RangeRateSTD(m/S),RCS(dBm2),MeasurementID,PositivePredictiveValue(%),Classification,MultiTargetProbability(%),ObjectID,AmbiguityFlag,SortIndex
Timestamp_Seconds,588,,,,,,,,,,,,
Timestamp_Nanoseconds,82045000,,,,,,,,,,,,
Origin_Xpos,2.67,,,,,,,,,,,,
Origin_Ypos,0,,,,,,,,,,,,
Origin_Zpos,0.61,,,,,,,,,,,,
Origin_Roll,0,,,,,,,,,,,,
Origin_Pitch,0,,,,,,,,,,,,
Origin_Yaw,0,,,,,,,,,,,,
List_RadVelDomain_Min,-23.54,,,,,,,,,,,,
List_RadVelDomain_Max,23.54,,,,,,,,,,,,
Aln_AzimuthCorrection,0,,,,,,,,,,,,
Aln_ElevationCorrection,0,,,,,,,,,,,,
Aln_Status,ALIGNMENT_NOTOK,,,,,,,,,,,,
List_NumOfDetections,278,,,,,,,,,,,,
x(m),y(m),z(m),InvalidFlags,RangeRate(m/S),RangeRateSTD(m/S),RCS(dBm2),MeasurementID,PositivePredictiveValue(%),Classification,MultiTargetProbability(%),ObjectID,AmbiguityFlag,SortIndex
4.26,-0.4,-0.48,0,0,0.25,11,5,75,Obstacle,26,7603,100,0
4.79,-0.31,-0.57,0,0,0.25,12,4,75,Obstacle,24,7603,100,0
5.12,0.58,-0.47,0,0,0.25,-2,7,75,Obstacle,20,7603,90,0
5.05,-1.99,-0.3,0,-0.04,0.25,-5,6,75,NoClassification,38,0,100,0
5.68,-0.33,0.47,0,0.01,0.25,3,9,75,Obstacle,7,7603,0,0
5.78,-1.63,-0.65,0,-0.01,0.25,6,8,75,Obstacle,6,7603,100,0
6.45,0.52,-0.74,0,0,0.25,-1,10,100,Obstacle,64,7603,100,0
6.44,-0.31,-2.61,0,0,0.25,18,11,100,Obstacle,10,7603,100,0
7.64,-0.25,-1,0,0,0.25,8,13,100,Obstacle,3,7603,100,0
7.98,-0.64,-1.21,0,0,0.25,-5,12,100,Obstacle,26,7603,100,0
8.21,-0.22,-2.03,0,0,0.25,-2,14,100,NoClassification,42,0,100,0
8.94,-0.25,-1.36,0,0.01,0.25,-5,16,100,Obstacle,0,7603,100,0
6.94,-6.27,-0.87,0,0.02,0.25,-8,15,100,NoClassification,27,0,50,0
9.17,2.34,-0.99,0,-0.01,0.25,-17,19,100,NoClassification,27,0,50,0
11.4,0.94,-1.27,0,0,0.25,-16,27,100,NoClassification,15,0,100,0
10.36,5.64,-2.12,0,0,0.25,-18,25,100,NoClassification,36,0,100,0
11.53,3.27,-2.18,0,0.03,0.25,-16,29,100,NoClassification,49,0,100,0
8.83,8.54,-1.59,0,0.01,0.25,-12,28,100,NoClassification,52,0,50,0
12.62,-0.84,2.08,0,0.02,0.25,-18,31,100,NoClassification,27,0,100,0
10.64,7.79,-1.41,0,-0.01,0.25,4,30,100,Obstacle,5,20140,100,0
13.59,1.23,-1.11,0,0,0.25,-6,32,100,Obstacle,8,2784,100,0
14.48,-0.41,1.83,0,0,0.25,-8,33,100,TraversableUnder,18,4250,100,0
15.36,2.37,1.7,0,-0.02,0.25,-16,38,100,NoClassification,13,0,100,0
16.38,0.12,-2.16,0,0,0.25,-17,40,100,NoClassification,28,0,100,0
16.63,1.69,-1.17,0,0.01,0.25,-17,44,100,NoClassification,36,0,100,0
16.75,1.92,-1.54,0,0.02,0.25,-19,43,100,NoClassification,42,0,100,0
17.13,-2.07,-2.25,0,0.01,0.25,-8,45,100,Obstacle,27,13802,50,0
15.43,-8.97,-0.08,0,0,0.25,-17,46,100,NoClassification,26,0,100,0
17.89,-1.83,1.37,0,0.03,0.25,-18,48,100,NoClassification,10,0,0,0
16.45,-8.87,-2.14,0,0,0.25,14,49,100,Obstacle,6,28835,100,0
19.23,-1.26,1.44,0,0.04,0.25,-15,52,100,NoClassification,20,0,100,0
17.34,-8.94,-0.11,0,0.02,0.25,-13,51,100,Obstacle,11,28835,100,0
17.95,8.39,0.3,0,0.02,0.25,-12,50,100,NoClassification,20,0,50,0
18.42,8.12,0.33,0,-0.01,0.25,-16,54,100,NoClassification,42,0,100,0
20.4,-1.4,1.25,0,0,0.25,-7,53,100,Obstacle,21,13802,100,0
20.8,-2.04,1.14,0,-0.07,0.25,-15,56,100,NoClassification,3,0,100,0
21.31,-2.21,0.99,0,-0.01,0.25,-11,58,100,Obstacle,17,13802,100,0
21.32,-1.56,-4.32,0,-0.01,0.25,-4,57,100,NoClassification,19,0,100,0
21.96,4.37,0.88,0,0.01,0.25,-18,59,100,NoClassification,43,0,100,0
22.54,-1.28,0.74,0,0.02,0.25,-18,61,100,NoClassification,25,0,100,0
23.29,-1.35,0.77,0,0.01,0.25,-11,63,100,Obstacle,41,13802,100,0
23.29,-1.96,0.78,0,0,0.25,-11,62,100,Obstacle,72,13802,100,0
23.89,-1.25,0.78,0,0,0.25,-20,65,100,NoClassification,100,0,100,0
23.82,-3.36,-2.06,0,-0.03,0.25,-17,64,100,NoClassification,55,0,100,0
24.36,4.07,-2.91,0,0.01,0.25,-1,66,100,Obstacle,13,23149,100,0
24.66,-1.39,-4.8,0,0,0.25,4,69,100,NoClassification,13,0,50,0
26.46,4.01,3.05,0,0,0.25,-4,72,100,Obstacle,5,23149,100,0
27.02,4.52,-3.13,0,0,0.25,0,73,100,Obstacle,6,23149,100,0
28.12,4.18,1.77,0,0.03,0.25,-6,78,100,Obstacle,14,23149,100,0
28.35,5.17,-2.01,0,0,0.25,2,76,100,Obstacle,9,23149,100,0
29.43,4.37,-2.75,0,-0.05,0.25,-8,81,100,Obstacle,21,23149,100,0
29.62,4.62,-3.6,0,0,0.25,7,80,100,Obstacle,16,23149,100,0
30.69,4.69,-3.29,0,-0.01,0.25,2,82,100,Obstacle,14,23149,100,0
30.91,4.82,-3.71,0,-0.03,0.25,0,83,100,Obstacle,36,23149,100,0
22.45,-22.51,4.15,0,0.01,0.25,5,84,100,TraversableUnder,1,26437,100,0
31.8,4.7,-5.05,0,0.03,0.25,-4,86,100,Obstacle,52,17746,100,0
32.06,5.08,-4.61,0,-0.02,0.25,-1,85,100,Obstacle,6,17746,100,0
20.34,-25.74,5.77,0,0,0.25,17,89,100,NoClassification,11,0,100,0
25.37,-22.73,-3.39,0,0,0.25,14,90,100,TraversableUnder,2,13547,100,0
19.85,-28.36,-3.34,0,0,0.25,12,91,100,Obstacle,38,21098,100,0
34.98,3.45,-2.33,0,-0.01,0.25,-5,93,100,Obstacle,7,22601,100,0
34.36,-8.24,-2.29,0,0,0.25,-6,92,100,Obstacle,10,20782,70,0
27.31,-23.02,-3.45,0,0,0.25,5,95,100,TraversableUnder,21,13547,100,0
35.66,5.22,1.38,0,0,0.25,-10,94,100,Obstacle,28,17746,90,0
36.99,5.22,-2.51,0,-0.01,0.25,-16,98,100,NoClassification,15,0,90,0
26.02,-26.71,5.13,0,0.01,0.25,15,100,100,TraversableUnder,9,10265,100,0
37.44,5.31,-4.08,0,0,0.25,-4,99,100,TraversableUnder,24,15357,100,0
30.09,-23.94,3.33,0,0,0.25,-3,101,100,TraversableUnder,5,13547,100,0
35.61,15.51,-2.38,0,0.01,0.25,-8,104,100,TraversableUnder,58,15357,100,0
38.72,4.91,-1.94,0,-0.01,0.25,-7,103,100,Obstacle,17,17746,100,0
27.92,-27.15,4.81,0,0,0.25,8,102,100,TraversableUnder,21,10265,100,0
27.76,-28.15,4.88,0,0.01,0.25,18,105,100,TraversableUnder,1,10265,100,0
36.26,-18.28,-4.66,0,0,0.25,8,109,100,TraversableUnder,8,22530,100,0
41.49,4.48,-2.7,0,-0.02,0.25,-5,110,100,TraversableUnder,44,15357,100,0
